Local time,Open,High,Low,Close,Volume
06.10.2009 08:00:00.000 GMT+0800,1.59465,1.60475,1.58755,1.59215,288263.5
07.10.2009 08:00:00.000 GMT+0800,1.59220,1.59760,1.58580,1.59625,305318.125
08.10.2009 08:00:00.000 GMT+0800,1.59625,1.61200,1.59510,1.60515,307071.0625
09.10.2009 08:00:00.000 GMT+0800,1.60505,1.60590,1.58250,1.58410,301130.5
10.10.2009 08:00:00.000 GMT+0800,1.58410,1.58410,1.58410,1.58410,0
11.10.2009 08:00:00.000 GMT+0800,1.58327,1.58685,1.58228,1.58465,26642.7793
12.10.2009 08:00:00.000 GMT+0800,1.58460,1.58820,1.57275,1.58125,221406.0938
13.10.2009 08:00:00.000 GMT+0800,1.58115,1.59385,1.57080,1.59315,277173.1875
14.10.2009 08:00:00.000 GMT+0800,1.59315,1.60240,1.59020,1.60045,252411.6875
15.10.2009 08:00:00.000 GMT+0800,1.60035,1.63395,1.60010,1.63370,281557.2188
16.10.2009 08:00:00.000 GMT+0800,1.63370,1.63990,1.62515,1.63567,236460.625
17.10.2009 08:00:00.000 GMT+0800,1.63567,1.63567,1.63567,1.63567,0
18.10.2009 08:00:00.000 GMT+0800,1.63532,1.63705,1.62820,1.63520,20465.0801
19.10.2009 08:00:00.000 GMT+0800,1.63530,1.64350,1.62405,1.64080,239424.2813
20.10.2009 08:00:00.000 GMT+0800,1.64080,1.64885,1.63280,1.63785,262823.9063
21.10.2009 08:00:00.000 GMT+0800,1.63785,1.66365,1.63465,1.66185,292566.5625
22.10.2009 08:00:00.000 GMT+0800,1.66185,1.66375,1.64865,1.66285,249756.8594
23.10.2009 08:00:00.000 GMT+0800,1.66285,1.66935,1.62983,1.63060,262432.4375
24.10.2009 08:00:00.000 GMT+0800,1.63060,1.63060,1.63060,1.63060,0
25.10.2009 08:00:00.000 GMT+0800,1.63040,1.63255,1.62665,1.62670,18382.9902
26.10.2009 08:00:00.000 GMT+0800,1.62685,1.63950,1.62505,1.62940,237888.7031
27.10.2009 08:00:00.000 GMT+0800,1.62950,1.64385,1.62850,1.63925,278148.5
28.10.2009 08:00:00.000 GMT+0800,1.63925,1.64670,1.62850,1.63740,253055.7656
29.10.2009 08:00:00.000 GMT+0800,1.63740,1.66030,1.63375,1.65610,237653.6563
30.10.2009 08:00:00.000 GMT+0800,1.65610,1.65790,1.64085,1.64494,216797.2656
31.10.2009 08:00:00.000 GMT+0800,1.64494,1.64494,1.64494,1.64494,0
01.11.2009 08:00:00.000 GMT+0800,1.64387,1.64468,1.63445,1.64130,24296.8398
02.11.2009 08:00:00.000 GMT+0800,1.64125,1.64775,1.63285,1.63925,265872.7813
03.11.2009 08:00:00.000 GMT+0800,1.63925,1.64550,1.62610,1.64210,255592.1094
04.11.2009 08:00:00.000 GMT+0800,1.64205,1.65970,1.64000,1.65555,269282.3438
05.11.2009 08:00:00.000 GMT+0800,1.65555,1.66355,1.64655,1.65725,247747.2188
